title,city,date,detailLink
Lg g2 verizon 980 urgant sales,Lahore,12-Dec,http://olx.com.pk/item/lg-g2-verizon-980-urgant-sales-IDTGQ6p.html#6424b63f13
Samsung 7562 3g,Gujranwala,12-Dec,http://olx.com.pk/item/samsung-7562-3g-IDTGQ69.html#6424b63f13
Note 3 SM.9005 3gb/32gb,Faisalabad,12-Dec,http://olx.com.pk/item/note-3-sm-9005-3gb-32gb-IDTGQ5P.html#6424b63f13
Mobile Huawei Y520,Faisalabad,12-Dec,http://olx.com.pk/item/mobile-huawei-y520-IDTGQ4x.html#6424b63f13
Q tablet Q800 8Gb,Lahore,12-Dec,http://olx.com.pk/item/q-tablet-q800-8gb-IDTGQ3B.html#6424b63f13
xiaomi MI 4c brand new,Peshawar,12-Dec,http://olx.com.pk/item/xiaomi-mi-4c-brand-new-IDTGQ3H.html#6424b63f13
Q mobile T200 ha,Lahore,12-Dec,http://olx.com.pk/item/q-mobile-t200-ha-IDTGQ23.html#6424b63f13
Galaxy s3 original parts,Lahore,12-Dec,http://olx.com.pk/item/galaxy-s3-original-parts-IDTvN4l.html#6424b63f13
Qmobile i7 good condition,Sahiwal,12-Dec,http://olx.com.pk/item/qmobile-i7-good-condition-IDTGQ0Z.html#6424b63f13
Q s1 mobile 2 9 months warnte 1gb ram 8rom,Hyderabad,12-Dec,http://olx.com.pk/item/q-s1-mobile-2-9-months-warnte-1gb-ram-8rom-IDTGQ0w.html#6424b63f13
756 mb ram 8gbrom Serious buyer contact him.,Karachi,12-Dec,http://olx.com.pk/item/756-mb-ram-8gbrom-serious-buyer-contact-him-IDTGPVl.html#6424b63f13
8 Hours Facebook Use,Lakki Marwat,12-Dec,http://olx.com.pk/item/8-hours-facebook-use-IDTGPZw.html#6424b63f13
LG GX 310 Model no exchange,Rawalpindi,12-Dec,http://olx.com.pk/item/lg-gx-310-model-no-exchange-IDTGPZd.html#6424b63f13
Sony bluetooth handsfree,Sargodha,12-Dec,http://olx.com.pk/item/sony-bluetooth-handsfree-IDTGPY5.html#6424b63f13
Huawei mobile good good condition,Gujrat,12-Dec,http://olx.com.pk/item/huawei-mobile-good-good-condition-IDTGPXJ.html#6424b63f13
Qmobile linq x300,Gujranwala,12-Dec,http://olx.com.pk/item/qmobile-linq-x300-IDTGPXB.html#6424b63f13
Q Mobile Noir A35,Lahore,12-Dec,http://olx.com.pk/item/q-mobile-noir-a35-IDTGPV1.html#6424b63f13
Lg g3 3 gb ram 32 gb rom,Sahiwal,12-Dec,http://olx.com.pk/item/lg-g3-3-gb-ram-32-gb-rom-IDTGPXr.html#6424b63f13
Samaung galaxy s5,Rawalpindi,12-Dec,http://olx.com.pk/item/samaung-galaxy-s5-IDTADYB.html#6424b63f13
power bank 15000 mah,Gujrat,12-Dec,http://olx.com.pk/item/power-bank-15000-mah-IDTGPVx.html#6424b63f13
LG F180 Korean januine mobile no exchange,Rawalpindi,12-Dec,http://olx.com.pk/item/lg-f180-korean-januine-mobile-no-exchange-IDTGPUW.html#6424b63f13
S4 i9505 Exchange only,Islamabad,12-Dec,http://olx.com.pk/item/s4-i9505-exchange-only-IDTGPUh.html#6424b63f13
Qmobile A50 complete box,Rawalpindi,12-Dec,http://olx.com.pk/item/qmobile-a50-complete-box-IDSRuFN.html#6424b63f13
Motorola Droid Razar M,Karachi,12-Dec,http://olx.com.pk/item/motorola-droid-razar-m-IDTGNmH.html#6424b63f13
Q mobile X-11 android,Sargodha,12-Dec,http://olx.com.pk/item/q-mobile-x-11-android-IDTGOeT.html#6424b63f13
Iphone5s 12000 only,Karachi,12-Dec,http://olx.com.pk/item/iphone5s-12000-only-IDTGO5Z.html#6424b63f13
Samsung Galaxy A3 full warnty..,Wah,12-Dec,http://olx.com.pk/item/samsung-galaxy-a3-full-warnty-IDTGNep.html#6424b63f13
I want to sell my LG f160s,Lahore,12-Dec,http://olx.com.pk/item/i-want-to-sell-my-lg-f160s-IDTEN6N.html#6424b63f13
Qmobile X450..Read Full Add,Sahiwal,12-Dec,http://olx.com.pk/item/qmobile-x450-read-full-add-IDTwNwp.html#6424b63f13
Motorola (moto razr m) 907 4G only mobile,Lahore,12-Dec,http://olx.com.pk/item/motorola-moto-razr-m-907-4g-only-mobile-IDTEqcH.html#6424b63f13
One plus 2 with screen protector(original),Lahore,12-Dec,http://olx.com.pk/item/one-plus-2-with-screen-protectororiginal-IDTGPtB.html#6424b63f13
BlackBerry 9220,Lahore,12-Dec,http://olx.com.pk/item/blackberry-9220-IDTua9z.html#6424b63f13
Mobile phone watch,Sahiwal,12-Dec,http://olx.com.pk/item/mobile-phone-watch-IDT7EFn.html#6424b63f13
Huawei G8 Brand New 10/10 Full Waranty Box Pack,Lahore,12-Dec,http://olx.com.pk/item/huawei-g8-brand-new-10-10-full-waranty-box-pack-IDTEbQB.html#6424b63f13
Q mobile A600 good condition,Rawalpindi,12-Dec,http://olx.com.pk/item/q-mobile-a600-good-condition-IDTze1p.html#6424b63f13
Sony Ericsson W302 in white color,Islamabad,12-Dec,http://olx.com.pk/item/sony-ericsson-w302-in-white-color-IDTvvA9.html#6424b63f13
Tablet cover and key pad imported,Karachi,12-Dec,http://olx.com.pk/item/tablet-cover-and-key-pad-imported-IDSRRFW.html#6424b63f13
I5 Going cheap Read Ad,Rawalpindi,12-Dec,http://olx.com.pk/item/i5-going-cheap-read-ad-IDTyAw3.html#6424b63f13
Qmobile a400 only price 8000,Sialkot,12-Dec,http://olx.com.pk/item/qmobile-a400-only-price-8000-IDTFlfj.html#6424b63f13
