"","LG_price"
"1","Coming Soon"
"2","Coming Soon"
"3","Coming Soon"
"4","Coming Soon"
"5","Coming Soon"
"6","Coming Soon"
"7","Coming Soon"
"8","Coming Soon"
"9","Coming Soon"
"10","Rs. 66,000"
"11","Rs. 50,990"
"12","Rs. 50,000"
"13","Rs. 50,000"
"14","Rs. 45,000"
"15","Rs. 43,000"
"16","Rs. 35,000"
"17","Rs. 35,000"
"18","Rs. 33,000"
"19","Rs. 33,000"
"20","Rs. 32,000"
"21","Rs. 30,000"
"22","Rs. 28,000"
"23","Rs. 27,000"
"24","Rs. 24,500"
"25","Rs. 24,000"
"26","Rs. 17,000"
"27","Rs. 15,500"
"28","Rs. 14,600"
"29","Rs. 9,000"
"30","Rs. 8,500"
"31","Rs. 8,000"
"32","Rs. 6,999"
"33","Rs. 6,950"
"34","Rs. 5,950"
"35","Rs. 4,200"
"36","Rs. 3,850"
"37","N/A"
"38","Rs. 1,750"
"39"," Price N/A "
"40"," Price N/A "
"41"," Price N/A "
"42"," Price N/A "
"43"," Price N/A "
"44"," Price N/A "
"45"," Price N/A "
"46"," Price N/A "
"47"," Price N/A "
"48"," Price N/A "
"49"," Price N/A "
"50"," Price N/A "
"51"," Price N/A "
"52"," Price N/A "
"53"," Price N/A "
"54"," Price N/A "
"55"," Price N/A "
