"","lenovo_price"
"1","Coming Soon"
"2","Coming Soon"
"3","Coming Soon"
"4","Coming Soon"
"5","Coming Soon"
"6","Coming Soon"
"7","Coming Soon"
"8","Coming Soon"
"9","Coming Soon"
"10","Coming Soon"
"11","Coming Soon"
"12","Rs. 75,500"
"13","Rs. 51,000"
"14","Rs. 30,600"
"15","Rs. 26,900"
"16","Rs. 24,900"
"17","Rs. 22,700"
"18","Rs. 22,500"
"19","Rs. 19,500"
"20","Rs. 19,500"
"21","Rs. 17,900"
"22","Rs. 14,900"
"23","Rs. 14,500"
"24","Rs. 13,900"
"25","Rs. 13,000"
"26","Rs. 11,500"
"27","Rs. 9,800"
"28","Rs. 8,500"
"29","Rs. 7,900"
"30","Rs. 7,900"
