"","price"
"1","Coming Soon"
"2","Coming Soon"
"3","Coming Soon"
"4","Coming Soon"
"5","Coming Soon"
"6","Rs. 54,200"
"7","Rs. 49,700"
"8","Rs. 45,400"
"9","Rs. 39,900"
"10","Rs. 27,600"
"11","Rs. 22,500"
"12","Rs. 20,750"
"13","Rs. 20,000"
"14","Rs. 17,350"
"15","Rs. 15,950"
"16","Rs. 15,950"
"17","Rs. 15,800"
"18","Rs. 15,100"
"19","Rs. 14,800"
"20","Rs. 10,850"
"21","Rs. 10,350"
"22","Rs. 9,600"
"23","Rs. 8,850"
"24","Rs. 7,800"
"25","Rs. 7,800"
"26","Rs. 7,700"
"27","Rs. 7,550"
"28","Rs. 7,100"
"29","Rs. 6,800"
"30","Rs. 6,675"
"31","Rs. 6,000"
"32","Rs. 6,000"
"33","Rs. 5,950"
"34","Rs. 5,500"
"35","Rs. 5,400"
"36","Rs. 5,200"
"37","Rs. 5,200"
"38","Rs. 4,975"
"39","Rs. 4,975"
"40","Rs. 4,700"
"41","Rs. 4,500"
"42","Rs. 4,500"
"43","Rs. 4,160"
"44","Rs. 3,600"
"45","Rs. 3,160"
"46","Rs. 2,730"
"47","Rs. 2,350"
"48"," Price N/A "
"49"," Price N/A "
"50"," Price N/A "
"51"," Price N/A "
"52"," Price N/A "
"53"," Price N/A "
"54"," Price N/A "
"55"," Price N/A "
"56"," Price N/A "
"57"," Price N/A "
"58"," Price N/A "
"59"," Price N/A "
"60"," Price N/A "
"61"," Price N/A "
"62"," Price N/A "
"63"," Price N/A "
"64"," Price N/A "
"65"," Price N/A "
"66"," Price N/A "
"67"," Price N/A "
"68"," Price N/A "
"69"," Price N/A "
"70"," Price N/A "
"71"," Price N/A "
"72"," Price N/A "
"73"," Price N/A "
"74"," Price N/A "
"75"," Price N/A "
"76"," Price N/A "
"77"," Price N/A "
